全称	类型	关卡
无法匹配	悬赏	美味
戚风营地（日）	营地	戚风日
戚风营地（夜）	营地	戚风夜
冰啤酒吧（日）	营地	冰啤日
冰啤酒吧（夜）	营地	冰啤夜
坚果高台（日）	营地	坚果日
坚果高台（夜）	营地	坚果夜
芦荟沙丘（日）	沙漠	沙丘日
芦荟沙丘（夜）	沙漠	沙丘夜
沙棘绿洲	沙漠	绿洲
仙人掌盆地（日）	沙漠	盆地日
仙人掌盆地（夜）	沙漠	盆地夜
蜥蜴戈壁	沙漠	戈壁
鱼骨沙漠（日）	沙漠	鱼骨日
鱼骨沙漠（夜）	沙漠	鱼骨夜
库库尔金字塔	沙漠	金字塔
雪宝棒棒冰（日）	雪山	棒冰日
雪宝棒棒冰（夜）	雪山	棒冰夜
冰巨人雪芭（日）	雪山	雪芭日
冰巨人雪芭（夜）	雪山	雪芭夜
爱莎星冰乐	雪山	星冰乐
动感街区（日）	雷城	街区日
动感街区（夜）	雷城	街区夜
蛋糕钟楼（日）	雷城	钟楼日
蛋糕钟楼（夜）	雷城	钟楼夜
莓莓音乐节（日）	雷城	音乐日
莓莓音乐节（夜）	雷城	音乐夜
兔子洞（日）	奇境	兔子日
兔子洞（夜）	奇境	兔子夜
蘑菇小径（日）	奇境	蘑菇日
蘑菇小径（夜）	奇境	蘑菇夜
午茶庭院	奇境	庭院
玫瑰花园（日）	奇境	玫瑰日
玫瑰花园（夜）	奇境	玫瑰夜
悬浮梦境	奇境	梦境
曲奇岛	美味	曲奇
色拉岛（陆）	美味	色拉陆
色拉岛（水）	美味	色拉水
慕斯岛	美味	慕斯
香槟岛（陆）	美味	香槟陆
香槟岛（水）	美味	香槟水
神殿	美味	神殿
布丁岛（日）	美味	布丁日
布丁岛（夜）	美味	布丁夜
可可岛（日）	美味	可可日
可可岛（夜）	美味	可可夜
咖喱岛（日）	美味	咖喱日
咖喱岛（夜）	美味	咖喱夜
深渊	美味	深渊
芥末小屋（日）	火山	芥末日
芥末小屋（夜）	火山	芥末夜
薄荷海滩（日）	火山	薄荷日
薄荷海滩（夜）	火山	薄荷夜
芝士城堡	火山	城堡
炭烧雨林（日）	火山	炭烧日
炭烧雨林（夜）	火山	炭烧夜
抹茶庄园（日）	火山	抹茶日
抹茶庄园（夜）	火山	抹茶夜
玛奇朵港	火山	港口
棉花糖天空（日）	火山	棉花日
棉花糖天空（夜）	火山	棉花夜
果酱部落（日）	火山	果酱日
果酱部落（夜）	火山	果酱夜
雪顶火山	火山	火山
果仁瀑布	遗迹	果仁
榛子瀑布	遗迹	榛子
黑提丛林	遗迹	黑提
蓝莓丛林	遗迹	蓝莓
奶昔基地	遗迹	奶昔
圣代基地	遗迹	圣代
茴香竹筏（日）	浮空	竹筏日
茴香竹筏（夜）	浮空	竹筏夜
孜然断桥（日）	浮空	断桥日
孜然断桥（夜）	浮空	断桥夜
卤料花园	浮空	花园
月桂天空（日）	浮空	月桂日
月桂天空（夜）	浮空	月桂夜
香叶空港（日）	浮空	香叶日
香叶空港（夜）	浮空	香叶夜
香料飞船	浮空	飞船
花椒浮岛（日）	浮空	花椒日
花椒浮岛（夜）	浮空	花椒夜
丁香彩虹（日）	浮空	丁香日
丁香彩虹（夜）	浮空	丁香夜
十三香中心岛	浮空	十三香
金枪鱼洋流	海底	金枪鱼
珊瑚洋流（日）	海底	珊瑚日
珊瑚洋流（夜）	海底	珊瑚夜
北极贝湍流	海底	北极贝
海葵洋流（日）	海底	海葵日
海葵洋流（夜）	海底	海葵夜
天妇罗漩涡	海底	天妇罗
古堡初探	跨服	古堡8
古堡一障	跨服	古堡9
古堡二子	跨服	古堡10
古堡三轮	跨服	古堡11
天空静夜	跨服	天空8
天空蒙雾	跨服	天空9
天空薄雾	跨服	天空10
天空迷雾	跨服	天空11
炼狱之始	跨服	炼狱8
炼狱之觉	跨服	炼狱9
炼狱之风	跨服	炼狱10
炼狱之扇	跨服	炼狱11
水火相遇	跨服	水火8
水火相融	跨服	水火9
水火相拦	跨服	水火10
水火相斥	跨服	水火11
巫毒入口	跨服	巫毒8
巫毒走道	跨服	巫毒9
巫毒一室	跨服	巫毒10
巫毒二室	跨服	巫毒11
风雪前夜	跨服	冰封8
一级预警	跨服	冰封9
二级狂风	跨服	冰封10
三级旋风	跨服	冰封11
