主卡n	好卡n	好卡n-1	好卡n-2	中卡n	中卡n-1	中卡n-2	差卡n	差卡n-1	差卡n-2	制卡金币	强卡金币	保险金
0	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	100.00 	398	298	0
1	100.00 	88.00 	80.00 	100.00 	80.00 	72.00 	100.00 	72.00 	64.00 	398	298	2
2	96.80 	79.20 	60.80 	88.00 	72.00 	51.60 	80.00 	65.00 	48.40 	398	298	5
3	68.60 	55.00 	42.90 	62.00 	50.00 	36.30 	56.00 	48.40 	32.70 	398	298	10
4	49.50 	40.30 	24.20 	45.00 	36.60 	22.00 	40.50 	32.90 	19.80 	698	298	25
5	39.60 	33.00 	20.10 	36.00 	30.00 	18.30 	32.40 	27.00 	16.50 	998	398	50
6	31.90 	26.40 	13.20 	29.00 	24.00 	12.00 	26.10 	21.60 	10.80 	1298	398	200
7	26.40 	21.20 	10.60 	24.00 	19.30 	9.70 	21.60 	17.40 	8.70 	1598	698	400
8	22.00 	13.20 	6.00 	20.00 	12.00 	5.50 	16.00 	10.80 	4.90 	1998	698	1200
9	13.50 	4.50 	2.20 	12.30 	4.10 	2.00 	11.10 	3.70 	1.80 	2998	1298	5000
10	12.50 	4.60 	1.80 	11.40 	3.80 	1.80 	10.20 	3.40 	1.60 	4998	3298	15000
11	11.60 	4.30 	1.70 	10.50 	3.20 	1.70 	9.50 	3.20 	1.50 	0	6298	25000
12	10.70 	3.98 	1.56 	9.70 	3.20 	1.43 	8.84 	2.94 	1.43 	0	12298	35000
13	10.10 	3.67 	1.41 	9.30 	2.89 	1.41 	8.24 	2.63 	1.27 	0	24298	45000
14	9.50 	3.36 	1.26 	8.63 	2.58 	1.25 	7.77 	2.32 	1.16 	0	48298	55000
15	8.90 	3.05 	0.84 	8.09 	2.77 	0.76 	7.28 	2.50 	0.69 	0	96598	75000
16	8.30 	2.75 	0.00 	7.55 	2.50 	0.00 	6.79 	2.25 	0.00 	0	193198	95000
17	7.70 	2.45 	0.00 	7.00 	2.23 	0.00 	6.30 	2.00 	0.00 	0	386398	115000
18	7.10 	2.15 	0.00 	6.45 	1.95 	0.00 	5.81 	1.76 	0.00 	0	1159198	140000
19	6.50 	1.85 	0.00 	5.91 	1.68 	0.00 	5.32 	1.51 	0.00 	0	3477598	170000
20	5.90 	1.55 	0.00 	5.36 	1.41 	0.00 	4.83 	1.27 	0.00 	0	10432798	200000
21	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0	0
