行数	滚动条高	点击位置	翻页误差
30	26	0,235,261,287,313,339,365,391	0,10,3,13,6,16,9,1
31	25	0,233,259,284,309,335,360,385	0,8,11,5,8,11,5,1
32	24	0,232,257,281,306,330,355,380	0,5,2,7,12,18,14,1
33	23	0,231,255,279,302,326,350,374,391	0,13,12,11,19,18,17,16,1
34	23	0,231,253,276,299,322,345,368,391	0,6,7,7,18,19,10,10,1
35	22	0,229,252,274,296,319,341,364,386	0,5,-1,14,9,13,8,3,1
36	21	0,228,250,272,294,316,337,359,381	0,4,13,2,11,-1,9,18,6
37	21	0,228,248,270,291,312,333,355,376,391	0,-3,10,13,15,7,9,11,3,1
38	20	0,226,247,268,288,309,330,351,371,391	0,19,16,2,10,6,14,11,19,1
39	20	0,226,246,266,286,307,327,347,367,386	0,13,14,16,17,8,9,11,12,2
