##美味	240	254
漫游	367	175
曲奇	669	163
色拉陆	705	261
色拉水	725	350
慕斯	667	409
香槟陆	539	469
香槟水	436	428
神殿	295	408
酒吧	38	220
布丁日	162	403
布丁夜	96	334
可可日	130	276
可可夜	154	206
咖喱日	191	143
咖喱夜	259	126
深渊	356	77
画龙	226	299
##火山	608	486
漫游	350	233
芥末日	732	255
芥末夜	655	299
薄荷日	715	366
薄荷夜	645	409
城堡	541	420
炭烧日	365	405
炭烧夜	293	379
抹茶日	230	266
抹茶夜	296	244
港口	473	183
棉花日	381	159
棉花夜	304	157
果酱日	218	136
果酱夜	264	107
火山	360	77
画龙	175	269
##遗迹	762	439
果仁	656	358
榛子	571	383
黑提	311	372
蓝莓	240	371
奶昔	348	125
圣代	446	89
##浮空	699	210
漫游	62	401
竹筏日	446	430
竹筏夜	570	421
断桥日	735	333
断桥夜	642	333
花园	511	296
月桂日	409	290
月桂夜	327	278
香叶日	259	256
香叶夜	169	219
飞船	95	166
花椒日	209	136
花椒夜	306	177
丁香日	540	162
丁香夜	456	200
十三香	477	96
画龙	116	288
##海底	726	261
金枪鱼	171	157
珊瑚日	107	306
珊瑚夜	243	285
北极贝	407	379
海葵日	536	353
海葵夜	600	457
天妇罗	762	271
##星际	769	147
糖球日	347	133
糖球夜	468	160
苏打日	245	325
苏打夜	349	375
汉堡王	504	364
巴旦日	659	294
巴旦夜	743	238
冷萃日	646	176
冷萃夜	557	138
多拿滋	198	190
##营地	571	310
戚风日	292	327
戚风夜	242	194
冰啤日	348	143
冰啤夜	502	128
坚果日	607	120
坚果夜	693	135
##沙漠	143	372
沙丘日	612	401
沙丘夜	490	436
绿洲	260	371
盆地日	427	346
盆地夜	516	310
戈壁	588	210
鱼骨日	388	255
鱼骨夜	301	232
金字塔	145	148
##雪山	336	133
棒冰日	465	125
棒冰夜	544	143
雪芭日	652	152
雪芭夜	702	251
星冰乐	619	321
##雷城	608	343
街区日	277	381
街区夜	323	316
钟楼日	219	258
钟楼夜	197	175
音乐日	298	174
音乐夜	392	206
##奇境	789	180
兔子日	245	326
兔子夜	168	251
蘑菇日	221	172
蘑菇夜	307	139
庭院	443	129
玫瑰日	615	155
玫瑰夜	687	183
梦境	418	257
